trade_date,open,high,low,close
20221115,3788.926,3871.6424,3775.4988,3865.9726
20221116,3860.811,3877.6781,3829.3126,3834.3899
20221117,3821.2709,3821.7419,3776.5739,3818.664
20221118,3823.8207,3840.3018,3801.5686,3801.5686
20221121,3769.627,3769.8731,3733.9954,3769.1269
20221122,3766.0817,3809.8582,3751.0448,3769.5727
20221123,3760.2157,3791.1782,3753.2136,3773.5287
20221124,3791.5399,3804.8987,3751.3818,3756.8082
20221125,3751.2822,3790.566,3743.4138,3775.7764
20221128,3701.902,3736.0813,3672.1306,3733.2424
20221129,3766.5702,3854.7742,3766.5702,3848.4224
20221130,3836.5598,3867.6591,3833.8272,3853.0365
20221201,3921.2954,3944.5645,3893.8718,3894.7687
20221202,3886.4034,3898.1146,3865.8844,3870.9478
20221205,3907.6375,3947.476,3900.6742,3946.8759
20221206,3929.0063,3988.9007,3922.9969,3968.1979
20221207,3956.6722,3999.5864,3944.1831,3958.4409
20221208,3953.199,3971.4927,3941.2966,3959.1798
20221209,3961.9919,4003.3178,3944.4396,3998.2442
20221212,3976.1722,3983.4332,3950.3203,3953.4433
20221213,3953.5482,3964.3957,3939.9795,3945.6813
20221214,3952.7885,3972.7381,3935.7668,3954.8857
20221215,3954.672,3963.5002,3926.4997,3951.9885
20221216,3931.2318,3960.4705,3929.4873,3954.227
20221219,3952.7707,3966.5679,3878.4367,3893.2207
20221220,3881.2257,3881.2729,3811.4759,3829.0173
20221221,3839.0009,3853.7272,3821.4037,3830.5384
20221222,3859.2041,3882.1263,3821.3418,3836.028
20221223,3811.6164,3848.3436,3805.9487,3828.2188
20221226,3830.5682,3856.8066,3827.5186,3843.4887
20221227,3860.9054,3891.8497,3856.58,3887.854
20221228,3874.9132,3884.7205,3854.9406,3871.2644
20221229,3854.2363,3868.2933,3838.4803,3856.7007
20221230,3873.9358,3887.5527,3868.7569,3871.6338
20230103,3864.8356,3893.9904,3831.245,3887.8992
20230104,3886.2504,3905.9032,3873.6549,3892.9477
20230105,3913.4928,3974.875,3912.26,3968.5782
20230106,3969.5493,4000.4143,3966.4696,3980.8888
20230109,3998.5278,4023.0898,3990.7073,4013.1196
20230110,4014.7125,4030.4574,4002.2297,4017.4737
20230111,4019.8844,4043.3991,4008.0153,4010.0309
20230112,4021.7547,4030.2876,4003.5079,4017.8692
20230113,4032.2906,4074.3772,4027.8864,4074.3772
20230116,4077.8793,4177.1035,4076.6394,4137.9643
20230117,4138.8433,4148.5838,4118.157,4137.2422
20230118,4140.1019,4151.4577,4125.7687,4130.3143
20230119,4125.5772,4156.0077,4105.9797,4156.0077
20230120,4166.8444,4189.831,4161.6698,4181.5267
20230130,4267.6248,4268.1522,4197.8596,4201.345
20230131,4200.5813,4212.7347,4153.0484,4156.8578
20230201,4170.1322,4195.9332,4137.7659,4195.9332
20230202,4207.4123,4207.4123,4170.5565,4181.1493
20230203,4162.0258,4162.0258,4103.1654,4141.6319
20230206,4103.8307,4105.9445,4065.2224,4086.8779
20230207,4098.3117,4107.3438,4077.9623,4094.2335
20230208,4099.8573,4111.4745,4072.6474,4076.1411
20230209,4067.5631,4130.8565,4064.7489,4130.8565
20230210,4124.0986,4125.2893,4092.3472,4106.3097
20230213,4098.8795,4146.45,4092.2729,4143.574
20230214,4151.247,4152.0487,4125.2583,4145.2902
20230215,4146.8547,4153.7159,4115.9671,4123.6893
20230216,4125.4087,4167.9003,4068.8591,4093.4876
20230217,4086.2237,4104.6398,4032.9285,4034.507
20230220,4039.9623,4134.8623,4035.4762,4133.4896
20230221,4130.0632,4151.7994,4116.2716,4144.3536
20230222,4118.9669,4134.8759,4101.8596,4106.9506
20230223,4106.2136,4132.3896,4088.2073,4103.6463
20230224,4100.9897,4102.6094,4048.2374,4061.0457
20230227,4040.4571,4067.0296,4034.5237,4043.8444
20230228,4058.1298,4074.2639,4026.4476,4069.4587
20230301,4068.7331,4135.4812,4061.2167,4126.9415
20230302,4119.9919,4137.2525,4113.8264,4117.7377
20230303,4126.0183,4135.2116,4100.3827,4130.5513
20230306,4131.1525,4132.8367,4088.4484,4109.0102
20230307,4103.6419,4124.9609,4046.5679,4048.8519
20230308,4030.7387,4037.287,4011.5231,4034.1077
20230309,4035.8433,4043.8493,4000.8901,4019.8505
20230310,3991.7959,4004.3612,3966.428,3967.1352
20230313,3962.6426,4008.686,3962.6426,4008.686
20230314,3999.8803,4001.9415,3946.9405,3984.6956
20230315,4011.8444,4018.7495,3986.902,3986.902
20230316,3958.1962,3981.321,3936.4758,3939.1505
20230317,3971.1585,4004.2153,3945.2501,3958.8194
20230320,3962.6625,3979.5485,3935.0161,3939.077
20230321,3948.1573,3982.7047,3948.1573,3982.3782
20230322,3993.7849,4016.4495,3986.7093,3999.4427
20230323,3985.9928,4039.0895,3983.9986,4039.0895
20230324,4035.1564,4037.8417,4017.0028,4027.0457
20230327,4023.3028,4023.3028,3987.0297,4012.4771
20230328,4015.6973,4023.7834,3994.5999,3999.5147
20230329,4013.5926,4017.7572,3992.6662,4006.144
20230330,4009.5573,4040.5023,3983.8958,4038.5257
20230331,4045.4538,4063.5675,4039.9587,4050.9257
20230403,4059.6227,4094.9376,4059.0607,4090.5676
20230404,4089.2932,4103.1583,4080.0682,4103.1052
20230406,4084.132,4098.8332,4078.4048,4096.64
20230407,4096.9009,4131.3126,4092.1848,4123.2799
20230410,4132.0096,4132.2952,4099.0519,4104.8118
20230411,4108.5062,4116.1247,4083.4946,4100.1479
20230412,4102.3968,4108.2451,4090.2784,4097.2876
20230413,4081.3871,4088.8809,4059.5744,4068.9786
20230414,4078.9703,4098.2151,4075.2049,4091.9988
20230417,4090.0719,4149.3836,4089.509,4149.3836
20230418,4139.3088,4169.6678,4138.4618,4162.032
20230419,4159.3938,4159.3938,4118.6261,4124.5589
20230420,4122.9461,4125.8231,4094.0022,4113.0192
20230421,4114.2642,4114.2642,4031.9123,4032.5672
20230424,4031.303,4033.6367,3967.907,3982.6429
20230425,3985.1055,3991.6868,3925.436,3962.6658
20230426,3950.2553,3975.6562,3934.6625,3959.2323
20230427,3948.0313,3999.1302,3942.8152,3988.4185
20230428,3993.2561,4030.4469,3993.2561,4029.0858
20230504,4013.4713,4035.7832,4001.1259,4030.2471
20230505,4031.0946,4047.6015,3998.392,4016.8774
20230508,4028.1056,4070.7724,4018.9608,4062.6624
20230509,4065.439,4092.8501,4026.3886,4027.8754
20230510,4017.9358,4019.0587,3984.6287,3996.8695
20230511,4005.7823,4018.0579,3988.4816,3990.6637
20230512,3987.769,3999.3831,3937.5274,3937.7622
20230515,3938.83,3998.8872,3923.0317,3998.8872
20230516,4002.5237,4005.015,3966.9921,3978.2054
20230517,3971.7017,3982.6044,3945.7137,3960.165
20230518,3965.5162,3982.7178,3939.5526,3956.0701
20230519,3946.2215,3967.2816,3928.316,3944.5403
20230522,3941.0015,3985.4031,3935.8015,3969.3277
20230523,3968.2346,3971.939,3913.1882,3913.1882
20230524,3903.7818,3903.7818,3859.0935,3859.0935
20230525,3851.4053,3861.3815,3817.8365,3850.4996
20230526,3848.4174,3859.6291,3815.5701,3850.9511
20230529,3862.0838,3866.7238,3819.1822,3833.9416
20230530,3827.7924,3844.0052,3789.2736,3837.7531
20230531,3827.1634,3827.1634,3781.4034,3798.5434
20230601,3788.5902,3832.2051,3786.7344,3806.8679
20230602,3821.6198,3865.2843,3821.6198,3861.8337
20230605,3860.5557,3860.5557,3832.4578,3844.2492
20230606,3840.4587,3867.8452,3802.8449,3808.1629
20230607,3815.4823,3823.1124,3780.1021,3789.3418
20230608,3791.0826,3834.3888,3777.7752,3820.1867
20230609,3822.4088,3836.7026,3811.2189,3836.7026
20230612,3827.3253,3859.7156,3813.8577,3844.4324
20230613,3838.1287,3867.3034,3833.4598,3864.9074
